Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1,1.000,2088831,2088831,2088831,2088831,2088831,2088831,2088831,2088831,2088831
1,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,1,1.000,1604569,1604569,1604569,1604569,1604569,1604569,1604569,1604569,1604569
4,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,1,1.000,1759838,1759838,1759838,1759838,1759838,1759838,1759838,1759838,1759838
8,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,1,1.000,924333,924333,924333,924333,924333,924333,924333,924333,924333
11,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,1,1.000,1989481,1989481,1989481,1989481,1989481,1989481,1989481,1989481,1989481
13,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,1,1.000,5914595,5914595,5914595,5914595,5914595,5914595,5914595,5914595,5914595
21,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,1,1.000,1680205,1680205,1680205,1680205,1680205,1680205,1680205,1680205,1680205
29,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,1,1.000,866832,866832,866832,866832,866832,866832,866832,866832,866832
31,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
32,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
33,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
34,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
35,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
36,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
37,1,1.000,4961825,4961825,4961825,4961825,4961825,4961825,4961825,4961825,4961825
38,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
39,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
40,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
41,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
42,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
43,1,1.000,1272510,1272510,1272510,1272510,1272510,1272510,1272510,1272510,1272510
44,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,1,1.000,434211,434211,434211,434211,434211,434211,434211,434211,434211
46,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
47,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
48,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
49,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
50,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
51,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
52,1,1.000,5973495,5973495,5973495,5973495,5973495,5973495,5973495,5973495,5973495
53,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
54,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
55,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
56,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
57,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
58,1,1.000,291823,291823,291823,291823,291823,291823,291823,291823,291823
59,1,1.000,579822,579822,579822,579822,579822,579822,579822,579822,579822
60,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
61,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
62,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
63,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
64,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
65,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
66,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
67,1,1.000,7273929,7273929,7273929,7273929,7273929,7273929,7273929,7273929,7273929
68,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
69,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
70,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
71,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
72,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
73,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
74,1,1.000,457466,457466,457466,457466,457466,457466,457466,457466,457466
75,1,1.000,171839,171839,171839,171839,171839,171839,171839,171839,171839
76,1,1.000,581505,581505,581505,581505,581505,581505,581505,581505,581505
77,1,1.000,327666,327666,327666,327666,327666,327666,327666,327666,327666
78,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
79,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
80,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
81,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
82,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
83,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
84,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
85,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
86,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
87,1,1.000,9394464,9394464,9394464,9394464,9394464,9394464,9394464,9394464,9394464
88,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
89,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
90,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
91,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
92,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
93,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
94,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
95,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
96,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
97,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
98,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
99,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
100,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
101,1,1.000,5349895,5349895,5349895,5349895,5349895,5349895,5349895,5349895,5349895
102,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
103,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
104,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
105,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
106,1,1.000,221177,221177,221177,221177,221177,221177,221177,221177,221177
107,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
108,1,1.000,1734844,1734844,1734844,1734844,1734844,1734844,1734844,1734844,1734844
109,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
110,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
111,1,1.000,1133184,1133184,1133184,1133184,1133184,1133184,1133184,1133184,1133184
112,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
113,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
114,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
115,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
116,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
117,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
118,1,1.000,6634776,6634776,6634776,6634776,6634776,6634776,6634776,6634776,6634776
119,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
120,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
121,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
122,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
123,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
124,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
125,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
126,1,1.000,536058,536058,536058,536058,536058,536058,536058,536058,536058
127,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
128,1,1.000,1198613,1198613,1198613,1198613,1198613,1198613,1198613,1198613,1198613
129,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
130,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
131,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
132,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
133,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
134,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
135,1,1.000,5499072,5499072,5499072,5499072,5499072,5499072,5499072,5499072,5499072
136,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
137,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
138,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
139,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
140,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
141,1,1.000,509435,509435,509435,509435,509435,509435,509435,509435,509435
142,1,1.000,261364,261364,261364,261364,261364,261364,261364,261364,261364
143,1,1.000,671854,671854,671854,671854,671854,671854,671854,671854,671854
144,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
145,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
146,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
147,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
148,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
149,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
150,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
151,1,1.000,9260166,9260166,9260166,9260166,9260166,9260166,9260166,9260166,9260166
152,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
153,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
154,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
155,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
156,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
157,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
158,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
159,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
160,1,1.000,332596,332596,332596,332596,332596,332596,332596,332596,332596
161,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
162,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
163,1,1.000,2118750,2118750,2118750,2118750,2118750,2118750,2118750,2118750,2118750
164,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
165,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
166,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
167,1,1.000,1311827,1311827,1311827,1311827,1311827,1311827,1311827,1311827,1311827
168,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
169,1,1.000,2236625,2236625,2236625,2236625,2236625,2236625,2236625,2236625,2236625
170,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
171,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
172,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
173,1,1.000,1363142,1363142,1363142,1363142,1363142,1363142,1363142,1363142,1363142
174,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
175,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
176,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
177,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
178,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
179,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
180,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
181,1,1.000,5204863,5204863,5204863,5204863,5204863,5204863,5204863,5204863,5204863
182,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
183,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
184,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
185,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
186,1,1.000,378656,378656,378656,378656,378656,378656,378656,378656,378656
187,1,1.000,159897,159897,159897,159897,159897,159897,159897,159897,159897
188,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
189,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
190,1,1.000,5962752,5962752,5962752,5962752,5962752,5962752,5962752,5962752,5962752
191,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
192,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
193,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
194,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
195,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
196,1,1.000,327989,327989,327989,327989,327989,327989,327989,327989,327989
197,1,1.000,307887,307887,307887,307887,307887,307887,307887,307887,307887
198,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
199,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
200,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
201,1,1.000,3230737,3230737,3230737,3230737,3230737,3230737,3230737,3230737,3230737
